Straßenname;Hinweis_zum_Straßennamen;Planquadrat_von;Planquadrat_bis;Lage_im_Straßennetz_von_Straße;Lage_im_Straßennetz_bis_Straße;Stadtteilname;Postleitzahl;Straßenschluessel-Nr.;ungerade_Haus-Nr._von;ungerade_Haus-Nr._bis;gerade_Haus-Nr._von;gerade_Haus-Nr._bis;Stadtteil-Nr.
Bröhl;siehe Zum Hohen B.;;;;;;;;;;;;
Bröhl-Straße;siehe Pastor-Bröhl-Straße;;;;;;;;;;;;
Broich;siehe Am B.;;;;;;;;;;;;
Brölweg;;4877;4878;Sulzbachstraße;Stapelbachweg;Gerresheim;40625;1376;;;;;71
Broichgraben;siehe Am B.;;;;;;;;;;;;
Bromberger Straße;;5071;5171;Hasselsstraße;Spangerstraße;Hassels;40599;1377;;;;;98
Brorsstraße;;5374;;Gerresheimer Landstraße;nach Nordosten, dann Nordwesten;Unterbach;40627;808;;;;;84
Bruchgrabenweg;;5373;5274;Im Broich;Großer Torfbruch;Unterbach;40627;854;;;;;84
Bruchhausen;;5380;5480;Erkrather Landstraße;nach Osten;Hubbelrath;40629;733;;;;;74
Bruchhausenstraße;;4873;4773;Nixenstraße;Harffstraße;Wersten;40591;1378;;;;;91
Bruchstraße;;4777;4877;Lindenstraße;Hellweg;Flingern Nord;40235;1379;;;;;22
Brucknerstraße;;5169;;Haydnstraße;Flotowstr. u. darüber hinaus;Benrath;40593;1380;;;;;95
Brückenschlag;;5489;;Angerbenden;Alte Gasse;Angermund;40489;3715;;;;;55
Brückenstraße;;5375;;Stromstraße;Lippestraße;Unterbilk;40221;1381;;;;;32
Brückerbach;siehe Am B.;;;;;;;;;;;;
Brüderstraße;;4478;;Joseph-Beuys-Ufer;nach Osten;Pempelfort;40479;3698;;;;;14
Brüggener Weg;;4278;;Niederkasseler Kirchweg;nach Nordosten;Niederkassel;40547;3560;;;;;44
Brühl;siehe Im B.;;;;;;;;;;;;
Brüsseler Straße;;3978;4379;Theodor-Heuss-Brücke;Stadtgrenze;Oberkassel;40545;1383;;;182;500;41
Brüsseler Straße;;3978;4379;Theodor-Heuss-Brücke;Stadtgrenze;Heerdt;40549;1383;301;999;502;998;42
Brüsseler Straße;;3978;4379;Theodor-Heuss-Brücke;Stadtgrenze;Lörick;40547;1383;151;299;;;43
Brüsseler Straße;;3978;4379;Theodor-Heuss-Brücke;Stadtgrenze;Niederkassel;40547;1383;1;149;2;180;44
Brugacker;siehe Am B.;;;;;;;;;;;;
Bruhnstraße;;4574;;Naegelestraße;Fabriciusstraße;Bilk;40225;1384;;;;;36
Brunhildenstraße;;4077;;Rheinallee;Baldurstraße;Heerdt;40549;1385;;;;;42
Brunnenstraße;;4475;4474;Ludwig-Hammers-Platz;Suitbertusstraße;Bilk;40223;1386;;;;;36
Bruno-Recht-Weg;;4879;;Graf-Recke-Straße;Staufenplatz;Grafenberg;40235;3876;;;;;72
Bruno-Schmitz-Straße;;5267;5268;Peter-Behrens-Straße;nach Norden;Garath;40595;1387;;;;;101
Bublitzer Straße;;5071;5171;Heiligenhauser Straße;Spangerstraße;Hassels;40599;3603;;;;;98
Buchen;siehe An den B.;;;;;;;;;;;;
Buchenstraße;;5071;4971;Eichelstraße;Steubenstraße;Reisholz;40599;1388;;;;;94
Buchenweg;;5275;;Am Heidberg;nach Südosten;Unterbach;40627;779;;;;;84
Buchfinkenweg;;4481;;Mühligweg;Birkhahnweg;Unterrath;40468;3670;;;;;62
Buchholzer Busch;siehe Am B. B.;;;;;;;;;;;;
Buchholzer Weg;;4683;;Volkardeyer Weg;nach Süden;Lichtenbroich;40472;1389;;;;;61
Buchsbaumweg;;4779;;Zur Weide;Zur Weide;Mörsenbroich;40470;3440;;;;;64
Buddestraße;;4679;;Liststraße;Maybachstraße;Düsseltal;40470;1390;;;;;23
Bücherstraße;;5068;5168;Drängenburger Str.;Pannebäckerstraße;Urdenbach;40593;1391;;;;;96
Bückerbergweg;;4473;;Fleher Straße;nach Osten;Flehe;40223;1392;;;;;38
Bueckstraße;;4580;;Schimmelbuschstr.;Rather Straße;Derendorf;40468;1393;;;;;15
Büdericher Straße;;4079;4080;Hansaallee;Oberlöricker Straße;Lörick;40547;1394;;;;;43
Büdingenstraße;;5076;;Nachtigallstraße;Hatzfeldstraße;Gerresheim;40625;1395;;;;;71
Büllenkothenweg;;5073;;Deutzer Straße;Am Pflanzkamp kreuz. über d. hinaus;Eller;40229;1396;;;;;82
Bülowstraße;;4579;;Sommersstraße;Yorckstraße;Derendorf;40476;1397;;;;;15
Büngerstraße;;5170;;Forststraße;Hasselsstraße;Benrath;40597;1398;;;;;95
Bürgerhaus;siehe Am B.;;;;;;;;;;;;
Bürgerstraße;;4475;4375;Wissmannstraße;Lorettostraße;Unterbilk;40219;1399;;;;;32
Büttgenbachstraße;;4078;;Krefelder Straße;nach Südosten;Heerdt;40549;3653;;;;;42
Büttgenweg;;4179;;Löricker Straße;nach Osten;Lörick;40547;1400;;;;;43
Buhlack;siehe In der B.;;;;;;;;;;;;
Bungert-Straße;siehe Klaus-Bungert-Straße;;;;;;;;;;;;
Bunsenstraße;;4576;;Helmholtzstraße;Gustav-Poensgen-Straße;Friedrichstadt;40215;1401;;;;;31
Bunzlauer Weg;;4976;4975;Sandträgerweg;Höherhofstraße;Vennhausen;40627;1402;;;;;83
Burgallee;;4185;;Suitbertus-Stiftsplatz;An Sankt Swidbert;Kaiserswerth;40489;1403;;;;;53
Burgenlandweg;;4872;4972;Werstener Friedhofstraße;Oerschbachstraße;Wersten;40591;1404;;;;;91
Burggrafenstraße;;4377;4378;Luegallee;Feldmühleplatz;Oberkassel;40545;1405;;;;;41
Burghofstraße;;4475;;Ludwig-Hammers-Platz;Karolingerstraße;Bilk;40223;1406;;;;;36
Burgmüllerstraße;;4879;4878;Graf-Recke-Straße;Vautierstraße;Grafenberg;40235;1407;;;;;72
Burgplatz;;4477;;Schlossufer;Bolkerstraße;Altstadt;40213;1408;;;;;11
Burgunderstraße;;3977;4877;Heerdter Landstr.;Stadtgrenze;Heerdt;40549;1410;;;;;42
Burscheider Straße;;4773;4772;Kampstraße;Kölner Landstraße;Wersten;40591;1411;;;;;91
Busch;siehe Am Dicken B.;;;;;;;;;;;;
Buscherhofstraße;;5171;;Hasselsstraße;Hoxbachstraße;Benrath;40599;1412;;;2;998;95
Buscherhofstraße;;5171;;Hasselsstraße;Hoxbachstraße;Hassels;40599;1412;1;999;;;98
Buscherstraße;;4679;;Münsterstraße;Lacombletstraße;Düsseltal;40239;1413;;;;;23
Buschgasser Weg;;4387;;Einbrunger Straße;Gerichtsschreiberweg;Wittlaer;40489;656;1;49;2;50;54
Buschgasser Weg;;4387;;Einbrunger Straße;Gerichtsschreiberweg;Angermund;40489;656;51;999;52;998;55
Busch-Straße;siehe Wilhelm-B.-Str.;;;;;;;;;;;;
Busch-Weg;siehe Pastor-B.-W.;;;;;;;;;;;;
Buthsweg;siehe Julius-B.-W.;;;;;;;;;;;;
Butzbacher Weg;;4874;;Braunfelsweg;Dillenburger Weg;Eller;40229;1414;;;;;82
Butzbroich;siehe Im B.;;;;;;;;;;;;
Buysstraße;;4574;4475;Karolingerplatz;Fruchtstraße;Bilk;40223;1415;;;;;36
Cäcilienstraße;;5170;;Görresstraße;Forststraße;Benrath;40597;1416;;;;;95
Calvinstraße;;5170;;Erich-Müller-Straße;nach Osten;Benrath;40597;1417;;;;;95
Camphausenstraße;;4578;;Prinz-Georg-Straße;Derendorfer Straße;Pempelfort;40479;1418;;;;;14
Cannstatter Straße;;5168;;Kettelerstraße;Töpferstr. kreuz. über d.  hinaus;Urdenbach;40593;1419;;;;;96
Cantadorstraße;;4577;;Am Wehrhahn;Leopoldstraße;Stadtmitte;40211;1420;;;;;13
Capitostraße;;5170;5270;Telleringstraße;Am Wald;Benrath;40597;1421;;;;;95
Cardaunstraße;;5075;;Hürthstraße;nach Nordosten;Vennhausen;40627;1422;;;;;83
Caritas-Platz;;4476;4376;Neusser Straße;Stromstraße;Unterbilk;40219;3897;;;;;32
Carl-Friedr.-Goerdeler-Straße;;5368;5367;Am Kapeller Feld;Frankfurter Straße;Garath;40595;3180;;;;;101
Carl-Jaspers-Straße;siehe Karl-J.-Str.;;;;;;;;;;;;
Carl-Maria-Splett-Straße;;5366;;Rudolf-Breitscheid-Straße;Bertha-von-Suttner-Straße;Hellerhof;40595;3579;;;;;102
Carl-Mosterts-Platz;;4578;;Ludwig-Wolker-Straße;Derendorfer Straße;Pempelfort;40477;1423;;;;;14
Carlo-Schmid-Straße;;5366;;Hellerhofweg;Ernst-Lemmer-Straße;Hellerhof;40595;3591;;;;;102
Carl-Severing-Straße;;5367;;Matthias-Erzberger-Straße;Carl-von-Ossietzky-Straße;Garath;40595;3186;;;;;101
Carl-Sonnenschein-Straße;;4381;;Danziger Straße;Deikerstraße;Stockum;40468;1424;;;;;51
Carlsplatz;;4476;4477;Berger Str. über Hohe Str.;Berger Straße;Altstadt;40213;2110;19;999;20;998;11
Carlsplatz;;4476;4477;Berger Str. über Hohe Str.;Berger Straße;Carlstadt;40213;2110;1;17;2;18;12
Carlstor;;4479;;Berger Allee;Haroldstraße;Carlstadt;40213;2117;;;;;12
Carl-Theodor-Straße;;4476;;Kasernenstraße;Breite Straße;Stadtmitte;40213;2116;;;;;13
Carl-von-Ossietzky-Straße;;5367;5368;Carl-Friedr.-Goerdeler-Straße;Carl-Severing-Straße;Garath;40595;3185;;;;;101
Carmenstraße;;4277;;Düsseldorfer Straße;Columbusstraße;Oberkassel;40549;1425;;;;;41
Cecilienallee;;4478;4379;Sittarder Straße;Uerdinger Straße;Pempelfort;40474;1426;1;3;2;2;14
Cecilienallee;;4478;4379;Sittarder Straße;Uerdinger Straße;Golzheim;40474;1426;5;999;4;998;16
Celler Weg;;4581;;Uelzener Weg;Wilseder Weg;Unterrath;40468;1427;;;;;62
Celsiusweg;;4772;4773;Robert-Mayer-Weg;Röntgenweg;Wersten;40591;1428;;;;;91
Chagall-Straße;siehe Marc-Chagall-Straße;;;;;;;;;;;;
Chamissostraße;;4778;;Graf-Recke-Straße;Friedrich-Springorum-Straße;Düsseltal;40237;1429;;;;;23
Charlottenstraße;;4577;4576;Bahnstraße;Klosterstraße;Stadtmitte;40210;1430;;;;;13
Chemnitzer Straße;;5074;4974;Eller Kamp;Eller Kamp;Vennhausen;40627;3145;;;;;83
Cheruskerstraße;;4377;4277;Oberkasseler Straße;Belsenplatz;Oberkassel;40545;1431;;;;;41
Chlodwigstraße;;4573;4474;Merowingerplatz;Himmelgeister Straße;Bilk;40225;1432;;;;;36
Chopinstraße;;5169;;Silcherstraße;Südallee;Benrath;40593;1433;;;;;95
Christoph-Seebohm-Straße;siehe Hans-C.-S.-Str.;;;;;;;;;;;;
Christophstraße;;4674;4673;Werstener Straße;nach Süden;Bilk;40225;1434;1;1;2;2;36
Christophstraße;;4674;4673;Werstener Straße;nach Süden;Bilk;40225;1434;3;999;4;998;36
Cimbernstraße;;4377;;Düsseldorfer Straße;Salierstraße;Oberkassel;40545;1435;;;;;41
Citadellstraße;;4476;4477;Schulstraße;Bäckerstraße;Carlstadt;40213;1436;;;;;12
Clara-Viebig-Straße;;4779;4778;Graf-Recke-Straße;Max-Planck-Straße;Düsseltal;40237;1437;;;;;23
Clarenbach-Weg;siehe Max-C.-Str.;;;;;;;;;;;;
Clarissenstraße;;4077;;Pestalozzistraße;Wiesenstraße;Heerdt;40549;1438;;;;;42
Claudiusstraße;;4282;4281;Mörikestraße;Hölderlinstr. kreuz. über d. hinaus;Stockum;40474;1439;;;;;51
Clausiusweg;;4773;4673;Auf'm Rott;Brückerbach;Wersten;40591;1440;;;;;91
Clausthal-Zellerfelder-Straße;;5467;5366;Dresdener Straße;Bad Harzburger Straße;Hellerhof;40595;3612;;;;;102
Clemens-Brentano-Straße;;4281;;Mörikestraße;Heymstraße;Stockum;40474;1441;;;;;51
Clemensstraße;;4574;4474;Himmelgeister Straße;Chlodwigstraße;Bilk;40225;1442;;;;;36
Clemens-Straße;siehe August-C.-Str.;;;;;;;;;;;;
Cloppenburger Weg;;4582;;Am Röttchen;nach Westen;Unterrath;40468;3547;;;;;62
Coburger Weg;;5075;;Kamper Weg;Mündrathweg kreuz.über d.hinaus;Vennhausen;40627;1443;;;;;83
Coesfelder Straße;;4581;;An der Piwipp;Bielef.Str.kreuz. über d. hinaus;Unterrath;40468;1444;;;;;62
Collenbachstraße;;4579;4578;Münsterstraße;Ulmenstraße;Pempelfort;40476;1445;1;21;2;10;14
Collenbachstraße;;4579;4578;Münsterstraße;Ulmenstraße;Derendorf;40476;1445;23;999;12;998;15
Colmarer Straße;;4482;;Breisacher Straße;Lothringer Straße;Unterrath;40468;1446;;;;;62
Columbusstraße;;4277;4278;Schanzenstraße;Pariser Straße;Oberkassel;40549;1447;;;;;41
Comeniusplatz;;4378;;Schorlemerstraße;Quirinstraße;Niederkassel;40547;1448;;;;;44
Comeniusstraße;;4378;;Oberkasseler Straße;Quirinstraße;Oberkassel;40545;1449;;;;;41
Conesweg;;5181;;Knittkuhler Straße;Stadtgrenze;Hubbelrath;40629;852;;;;;74
Copernikusstraße;siehe Kopernikusstraße;;;;;;;;;;;;
Cordobastraße;;4478;;Fischerstraße;Kaiserswerther Straße;Pempelfort;40477;1451;;;;;14
Corellistraße;;5268;5169;Südallee;im Bogen auf sich selbst zurückfü.;Urdenbach;40593;1452;;;;;96
Corneliusplatz;;4477;;Königsallee;Hofgarten;Stadtmitte;40213;1453;;;;;13
Corneliusstraße;;4576;4575;Ernst-Reuter-Platz;Hildebrandtstraße;Friedrichstadt;40215;1454;;;;;31
Cottbusser Straße;;5077;;Pirnaer Straße;Zittauer Straße;Gerresheim;40625;3888;;;;;71
Couvenstraße;;4577;;Alt-Pempelfort;Malkastenstraße;Pempelfort;40211;1455;;;;;14
Cranachplatz;;4777;;Grafenberger Allee;Ackerstraße;Flingern Nord;40235;1456;;;;;22
Cranachstraße;;4777;;Grafenberger Allee;Eisenbahn;Flingern Nord;40235;1457;;;;;22
Cronenberger Weg;;4772;4773;Auf'm Rott;Mergelgasse;Wersten;40591;1458;;;;;91
Cruthovener Straße;;4974;;Jägerstraße;nach Südosten;Eller;40231;1459;;;;;82
Curieweg;;4672;4772;Auf'm Rott;nach Osten und Süden;Wersten;40591;1460;;;;;91
Curt-Beckmann-Straße;;4184;;Leuchtenberger Kirchweg ;nach Nordwesten;Lohausen;40474;3772;;;;;52
Cuxhavener Straße;;4175;4176;Am Fallhammer;Wesermünder Straße;Hafen;40221;1461;;;;;33
Dabringhauser Straße;;4872;;Werstener Friedhofstraße;Immigrather Straße;Wersten;40591;1462;;;;;91
Dachsbergweg;;4881;4981;Oberrather Straße;Bauenhäuser Weg;Rath;40472;1463;;;;;63
Daelenstraße;;4878;4778;Schlüterstraße;Neumannstraße;Flingern Nord;40235;1464;;;;;22
Dämmergrund;siehe Im D.;;;;;;;;;;;;
Dagobertstraße;;4474;;Kopernikusstraße;nach Norden;Bilk;40225;1465;;;;;36
Dahlacker;siehe Im D.;;;;;;;;;;;;
Dahlienweg;;4481;;Rheinlandstraße;Dünenweg;Unterrath;40468;1466;;;;;62
Daimlerstraße;;4877;;Hellweg;Edisonplatz;Flingern Nord;40235;1467;;;;;22
Damaschkestraße;;4482;;Breisacher Straße;Eckenerstraße;Unterrath;40468;1468;;;;;62
Damm;siehe Am D.;;;;;;;;;;;;
Dammsteg;siehe Am D.;;;;;;;;;;;;
Daneköthen;;5075;6075;Kamper Weg;Tannenhofweg;Vennhausen;40627;3657;;;;;83
Daniel-Teutsch-Straße;siehe Georg-D.-T.-Str.;;;;;;;;;;;;
Dankeskirche;siehe An der D.;;;;;;;;;;;;
Danziger Straße;;4391;4381;Uerdinger Straße;Gerichtsschreiberweg;Derendorf;40468;1470;1;99;;;15
Danziger Straße;;4391;4381;Uerdinger Straße;Gerichtsschreiberweg;Golzheim;40468;1470;;;2;100;16
Danziger Straße;;4391;4381;Uerdinger Straße;Gerichtsschreiberweg;Stockum;40468;1470;101;199;102;200;51
Danziger Straße;;4391;4381;Uerdinger Straße;Gerichtsschreiberweg;Lohausen;40474;1470;201;299;202;300;52
Danziger Straße;;4391;4381;Uerdinger Straße;Gerichtsschreiberweg;Kaiserswerth;40489;1470;301;349;302;350;53
Danziger Straße;;4391;4381;Uerdinger Straße;Gerichtsschreiberweg;Kalkum;40489;1470;351;449;352;450;56
Danziger Straße;;4391;4381;Uerdinger Straße;Gerichtsschreiberweg;Angermund;40489;1470;451;999;452;998;55
Darmstädter Straße;;4874;;Weinheimer Straße;Sturmstraße;Eller;40229;1471;;;;;82
Dasselstraße;;5171;;Hasselsstraße;Erlenweg;Hassels;40599;1472;;;;;98
Dauzenbergstraße;;4285;4185;Kaiserswerther Markt;Suitbertus-Stifts;Kaiserswerth;40489;1474;;;;;53
Davidstraße;;4882;;Reichswaldallee;Am Götzenkothen;Rath;40472;1475;;;;;63
De Blääk;;4275;;Hammer Dorfstraße;Hammer Dorfstraße;Hamm;40221;3786;;;;;34
Dechant-König-Weg;;4377;;Adalbertstraße;Oberkasseler Straße;Oberkassel;40545;3599;;;;;41
Dechenweg;;4672;4772;Ickerswarder Straße;Auf'm Rott;Wersten;40591;1476;;;;;91
DEG-Platz;;5682;;Platzfläche südl. des ISS-Dome;;Rath;40472;3348;;;;;63
Degerstraße;;4777;;Grafenberger Allee;Flurstraße;Flingern Nord;40235;1477;;;;;22
Dehler-Straße;siehe Thomas-D.-Str.;;;;;;;;;;;;
Deich;siehe Am D.;;;;;;;;;;;;
Deikerstraße;;4381;4380;Thewissenweg;Krönerweg;Stockum;40468;1479;;;2;998;51
Deikerstraße;;4381;4380;Thewissenweg;Krönerweg;Unterrath;40468;1479;1;999;;;62
Deilbachweg;;4977;;Leierbachweg;nach Osten und weiter nach Süden;Gerresheim;40625;1480;;;;;71
Dellen;siehe In den D.;;;;;;;;;;;;
Dellestraße;;5374;5274;Gerresheimer Landstraße;Vennstraße;Unterbach;40627;780;;;;;84
Demagstraße;;5170;;Kleinstraße;Am Wald;Benrath;40597;1481;;;;;95
Denkmal;siehe Am D.;;;;;;;;;;;;
Derendorfer Allee;;4580;;Ulmensraße;Rather Straße;Derendorf;40476;3544;;;;;15
Derendorfer Straße;;4578;;Carl-Mosterts-Platz;Düsselthaler Str.;Pempelfort;40479;1482;1;11;2;14;14
Derendorfer Straße;;4578;;Carl-Mosterts-Platz;Düsselthaler Str.;Pempelfort;40479;1482;13;999;16;998;14
Derfflingerstraße;;4780;;Wilhelm-Raabe-Straße;Selbecker Straße;Rath;40470;1483;;;;;63
Der Grüne Weg;;4182;4083;Neusser Weg;Lohauser Deich;Lohausen;40474;1484;;;;;52
Dernbuschweg;;5078;5179;Gräulinger Straße;Rotthäuser Weg;Ludenberg;40625;1485;1;53;2;78;73
Dernbuschweg;;5078;5179;Gräulinger Straße;Rotthäuser Weg;Ludenberg;40629;1485;55;999;80;998;73
Derner Hof;;5079;5078;Am großen Dern;nach Nordwesten;Ludenberg;40625;3854;;;;;73
Dernkamp;siehe Am D.;;;;;;;;;;;;
Derra-Straße;siehe Ernst-Derra-Str.;;;;;;;;;;;;
Dessauer-Weg;siehe Prof.-D.-W.;;;;;;;;;;;;
Detmolder Weg;;4581;;Wilseder Weg;Barntruper Weg;Unterrath;40468;1486;;;;;62
Deutzer Straße;;5073;4973;Kikweg;Freiburger Straße;Eller;40229;1487;;;;;82
Dianastraße;;4375;;Volmerswerther Straße;Martinstraße;Bilk;40223;1488;;;;;36
Dickelsbachweg;;4877;4977;Stapelbachweg;Pillebachweg;Gerresheim;40625;1489;;;;;71
Dickhausweg;;4683;;Lichtenbroicher Weg;Lichtenbroicher Weg;Lichtenbroich;40472;3250;;;;;61
Diedenhofener Straße;;4579;4479;Rossstraße;Kanonierstraße;Derendorf;40476;1490;;;;;15
Diepenstraße;;4977;;Dreherstraße;nach Nordwesten;Gerresheim;40625;1491;;;;;71
Diepental;siehe Im D.;;;;;;;;;;;;
Dieselstraße;;4877;;Hellweg;Benzstraße;Flingern Nord;40235;1493;;;;;22
Diesterwegstraße;;4078;4077;Pestalozzistraße;Benediktusstraße;Heerdt;40549;1494;;;;;42
Dietrich-Bonhoeffer-Platz;;5268;5267;Platzfl. v. Dietrich-Bonh. Kirche (Julius-Raschdorff-Str.);;Garath;40595;3891;;;;;101
Dietrich-Bonhoeffer-Straße;;5366;;Graf-von-Stauffenberg-Straße;nach Nordosten;Hellerhof;40595;3813;;;;;102
Dietrichstraße;;4874;4974;Gertrudisplatz;Flottenstraße;Eller;40229;1495;;;;;82
Diezelweg;;4481;;Thewissenweg;Krönerweg;Unterrath;40468;1496;;;;;62
Diken;siehe In den D.;;;;;;;;;;;;
Dillenburger Weg;;4874;4873;Harffstraße;Sturmstraße;Eller;40229;1497;;;;;82
Dinnendahlstraße;;4878;4778;Schlüterstraße;Neumannstraße;Flingern Nord;40235;1498;;;;;22
Dinslakener Straße;;4681;4581;Bottroper Straße;Am Schneisbroich;Unterrath;40468;1499;;;;;62
Dirschauer Weg;;5171;;Lärchenweg;Am Schönenkamp;Hassels;40599;1500;;;;;98
Döberitzer Straße;;5172;5072;Rathenower Straße;nach Südwesten und Nordwesten;Hassels;40599;1502;;;;;98
Döblin-straße;siehe Alfred-D.-Str.;;;;;;;;;;;;
Dörgelsberg;;4189;5089;Wasserwerksweg;Wasserwerksweg;Wittlaer;40489;657;;;;;54
Döring-Straße;siehe Wolfgang-D.-Str.;;;;;;;;;;;;
Dörnbergstraße;;5171;;Hasselsstraße;Erlenweg;Hassels;40599;1503;;;;;98
Dörpeweg;;4977;;Wiebachweg;Deilbachweg;Gerresheim;40625;1504;;;;;71
Dörpfeldstraße;;5077;;Heyestraße;Märkische Straße;Gerresheim;40625;1505;;;;;71
Dörr-Ring;siehe Pastor-Dörr-Ring;;;;;;;;;;;;
Dohlenweg;;4481;;Birkhahnweg;Mühligweg;Unterrath;40468;1506;;;;;62
Domagk-Straße;siehe Gerhard-D.-Str.;;;;;;;;;;;;
Dominikanerstraße;;4277;4377;Barbarossaplatz;Düsseldorfer Straße;Oberkassel;40545;1507;;;;;41
Dompfaffweg;;4381;4481;Deikerstraße;Heinefeldplatz;Unterrath;40468;3672;;;;;62
Donk;siehe In der D.;;;;;;;;;;;;
Dopplerweg;;4272;4673;Geißlerweg;Ohmweg;Wersten;40591;1508;;;;;91
Dorfstraße;;5480;5380;Erkrather Landstr.;nach Osten;Hubbelrath;40629;734;;;;;74
Dormagener Straße;;4474;4374;Fleher Straße;Räuscherweg;Bilk;40221;1509;;;;;36
Dornaper Straße;;5078;;Benderstraße;Keldenichstraße;Gerresheim;40625;1510;;;;;71
Dornröschenweg;;4877;;Froschkönigweg;Zum Märchenland;Flingern Nord;40235;3709;;;;;22
Dornscheidt-Straße;siehe Hermann-D.-Str.;;;;;;;;;;;;
Dorotheenplatz;;4777;;Dorotheenstraße;Fortuna-/Flurstraße;Flingern Nord;40235;3789;;;;;22
Dorotheenstraße;;4777;;Grafenberger Allee;Behrenstraße;Flingern Süd;40235;1512;81;999;90;998;21
Dorotheenstraße;;4777;;Grafenberger Allee;Behrenstraße;Flingern Nord;40235;1512;1;79;2;88a;22
Dorper Weg;;5378;5579;Autobahn;Stadtgrenze;Hubbelrath;40629;735;;;;;74
Dorstener Straße;;4682;;Kürtenstraße;Nördlicher Zubringer;Rath;40472;3209;;;;;63
Dortmunder Straße;;4781;;Recklinghauser Straße;Rather Kreuzweg;Rath;40472;1513;;;;;63
Draap;siehe Auf dem D.;;;;;;;;;;;;
Drängenburger Straße;;5168;5068;Urdenbacher Dorfstraße;Rittersbergstraße;Urdenbach;40593;1514;;;;;96
Drakeplatz;;4377;;Drakestraße;Wildenbruchstraße;Oberkassel;40545;1515;;;;;41
Drakestraße;;4377;;Barbarossaplatz;Düsseldorfer Str.;Oberkassel;40545;1516;;;;;41
Drauschke-Weg;siehe Pastor-D.-W.;;;;;;;;;;;;
Dreherstraße;;5078;4877;Speestraße;Eisenbahn;Gerresheim;40625;1517;1;999;2;80;71
Dreherstraße;;5078;4877;Speestraße;Eisenbahn;Gerresheim;40625;1517;;;82;998;71
Dreieckstraße;;4576;;Eisenbahn;Querstraße;Oberbilk;40227;1518;;;;;37
Dreifaltigkeitsstraße;;5077;;Heyestraße;Quadenhofstraße;Gerresheim;40625;1519;;;;;71
Dreilinden;siehe An D.;;;;;;;;;;;;
Dreischeibenhaus;;4577;;August-Thyssen-Straße;Straßenende;Stadtmitte;40211;3422;;;;;13
Dresdener Straße;;5367;5466;Frankfurter Straße;Eichsfelder Straße;Hellerhof;40595;3534;;;;;102
Driburger Straße;;4781;;Westfalenstraße;Iserlohner Straße;Rath;40472;1520;;;;;63
Drosselstraße;;5075;;Vennhauser Allee;Heinrich-Biesenbach-Straße;Vennhausen;40627;1521;;;;;83
Drosselweg;;4588;;Bahnhofstraße;nach Süden;Angermund;40489;586;;;;;55
Droste-Hülshoff-Straße;;4281;;Mörikestraße;Rilkestr.kreuz. über d.hinaus;Stockum;40474;1522;;;;;51
Drususstraße;;4178;4277;Pariser Straße;Alberichweg;Oberkassel;40549;1523;;;;;41
Duderstädter Straße;;5466;;Eichsfelder Straße;nach Osten;Hellerhof;40595;3536;;;;;102
Dülmener Weg;;4780;;Selbecker Straße;nach Süden;Rath;40472;3811;;;;;63
Dünenweg;;4481;;Kalkumer Straße;A.d.Golzh.Heide kreuz.ü.d.hinaus;Unterrath;40468;1525;;;;;62
Dürener Straße;;4474;;Fleher Straße;Aachener Straße;Bilk;40223;1526;;;;;36
Dürer-Straße;siehe Albrecht-D.-Str.;;;;;;;;;;;;
Dürkheimer Weg;;4774;4775;Seeheimer Weg;Wormser Weg;Oberbilk;40227;1527;1;67;2;72;37
Dürkheimer Weg;;4774;4775;Seeheimer Weg;Wormser Weg;Eller;40227;1527;69;999;74;998;82
Düsseldorfer Straße;;4277;4377;Kaiser-Wilhelm-Ring;Drususstraße;Oberkassel;40545;1529;;;;;41
Düsselkämpchen;;4679;;Ahnfeldstraße;Kühlwetterstraße;Düsseltal;40239;1530;;;;;23
Düsselstraße;;4475;4376;Neusser Straße;Kronprinzenstraße;Unterbilk;40219;1531;1;17;2;30;32
Düsselstraße;;4475;4376;Neusser Straße;Kronprinzenstraße;Unterbilk;40219;1531;19;999;32;998;32
Düsselthaler Straße;;4577;4578;Vagedesstraße;Arndtstraße;Pempelfort;40211;1532;;;;;14
Duisburger Landstraße;;4291;4287;Arnheimer Straße;Stadtgrenze;Wittlaer;40489;658;;;;;54
Duisburger Straße;;4478;4577;Nordstraße;Jägerhofstraße;Pempelfort;40477;1533;1;29;2;50;14
Duisburger Straße;;4478;4577;Nordstraße;Jägerhofstraße;Pempelfort;40479;1533;31;999;52;998;14
Dumont-Straße;siehe Louise-D.-Str.;;;;;;;;;;;;
Dunant-Straße;siehe Henri-D.-Str.;;;;;;;;;;;;
Ebert-Straße;siehe Friedrich-E.-Str.;;;;;;;;;;;;
Eckampstraße;;4780;;Rather Broich;Selbecker Straße;Rath;40472;1535;;;;;63
Eckenerstraße;;4482;4382;Kalkumer Straße;Am Roten Haus;Unterrath;40468;1536;;;;;62
Ecolab-Park;;4870;;Reisholzer Werftstraße;nach Westen;Holthausen;40589;3877;;;;;93
Edenkobener Weg;;4874;4774;Am Schabernack;Obersteiner Weg;Eller;40229;1537;;;;;82
Edisonplatz;;4877;;Daimlerstraße;Eythstraße;Flingern Nord;40235;1539;;;;;22
Edith-Stein-Weg;;4381;4380;Kaiserswerther Straße;Thewissenweg;Stockum;40474;3155;;;;;51
Edmund-Bertrams-Straße;;4384;4385;Oberdorfstraße;Flughafen;Kalkum;40489;659;;;;;56
